symbol,exchange,organ_name,industry
NLG,HSX,Công ty Cổ phần Đầu tư Nam Long,Bất động sản
NKG,HSX,Công ty Cổ phần Thép Nam Kim,Tài nguyên Cơ bản
NHT,HSX,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Hàng cá nhân & Gia dụng
NHH,HSX,Công ty Cổ phần Nhựa Hà Nội,Hóa chất
NHC,HNX,Công ty Cổ phần Gạch ngói Nhị Hiệp,Xây dựng và Vật liệu
NHA,HSX,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Xây dựng và Vật liệu
NFC,HNX,Công ty Cổ phần Phân lân Ninh Bình,Hóa chất
NET,HNX,Công ty Cổ phần Bột giặt Net,Hàng cá nhân & Gia dụng
NDX,HNX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Xây dựng và Vật liệu
NDN,HNX,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Bất động sản
NCT,HSX,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Hàng & Dịch vụ Công nghiệp
NBW,HNX,Công ty Cổ phần Cấp nước Nhà Bè,"Điện, nước & xăng dầu khí đốt"
NBP,HNX,Công ty Cổ phần Nhiệt Điện Ninh Bình,"Điện, nước & xăng dầu khí đốt"
NBC,HNX,Công ty Cổ phần Than Núi Béo - Vinacomin,Tài nguyên Cơ bản
NBB,HSX,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Bất động sản
NAV,HSX,Công ty Cổ phần Nam Việt,Xây dựng và Vật liệu
NAP,HNX,Công ty Cổ phần Cảng Nghệ Tĩnh,Hàng & Dịch vụ Công nghiệp
NAG,HNX,Công ty Cổ phần Tập đoàn Nagakawa,Hàng & Dịch vụ Công nghiệp
NAF,HSX,Công ty Cổ phần Nafoods Group,Thực phẩm và đồ uống
NAB,HSX,Ngân hàng Thương mại Cổ phần Nam Á,Ngân hàng
MWG,HSX,Công ty Cổ phần Đầu tư Thế Giới Di Động,Bán lẻ
MVB,HNX,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - Công ty Cổ phần,Tài nguyên Cơ bản
MST,HNX,Công ty Cổ phần Đầu tư MST,Xây dựng và Vật liệu
MSN,HSX,Công ty Cổ phần Tập đoàn Masan,Thực phẩm và đồ uống
MSH,HSX,Công ty Cổ phần May Sông Hồng,Hàng cá nhân & Gia dụng
MSB,HSX,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng
MKV,HNX,Công ty Cổ phần Dược Thú Y Cai Lậy,Y tế
MIG,HSX,Tổng Công ty Cổ phần Bảo hiểm Quân đội,Bảo hiểm
MIC,HNX,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam,Tài nguyên Cơ bản
MHC,HSX,Công ty Cổ phần MHC,Hàng & Dịch vụ Công nghiệp
MEL,HNX,Công ty Cổ phần Thép Mê Lin,Tài nguyên Cơ bản
MED,HNX,Công ty Cổ phần Dược Trung ương Mediplantex,Y tế
MDG,HSX,Công ty Cổ phần Miền Đông,Xây dựng và Vật liệu
MDC,HNX,Công ty Cổ phần Than Mông Dương - Vinacomin,Tài nguyên Cơ bản
MCP,HSX,Công ty Cổ phần In và Bao bì Mỹ Châu,Hàng & Dịch vụ Công nghiệp
MCO,HNX,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,Xây dựng và Vật liệu
MCM,HSX,Công ty Cổ phần Giống bò sữa Mộc Châu,Thực phẩm và đồ uống
MCF,HNX,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Thực phẩm và đồ uống
MCC,HNX,Công ty Cổ phần Gạch ngói cao cấp,Xây dựng và Vật liệu
MBS,HNX,Công ty Cổ phần Chứng khoán MB,Dịch vụ tài chính
MBG,HNX,Công ty Cổ phần Tập đoàn MBG,Xây dựng và Vật liệu
MBB,HSX,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng
MAS,HNX,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng,Du lịch và Giải trí
MAC,HNX,Công ty Cổ phần Tập đoàn Macstar,Hàng & Dịch vụ Công nghiệp
LSS,HSX,Công ty Cổ phần Mía đường Lam Sơn,Thực phẩm và đồ uống
LPB,HSX,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,Ngân hàng
LM8,HSX,Công ty Cổ phần Lilama 18,Xây dựng và Vật liệu
LIX,HSX,Công ty Cổ phần Bột Giặt LiX,Hàng cá nhân & Gia dụng
LIG,HNX,Công ty Cổ phần Licogi 13,Xây dựng và Vật liệu
LHG,HSX,Công ty Cổ phần Long Hậu,Bất động sản
LHC,HNX,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Xây dựng và Vật liệu
LGL,HSX,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Bất động sản
LGC,HSX,Công ty Cổ phần Đầu tư Cầu đường CII,Xây dựng và Vật liệu
LDP,HNX,Công ty Cổ phần Dược Lâm Đồng - Ladophar,Y tế
LDG,HSX,Công ty Cổ phần Đầu tư LDG,Bất động sản
LCG,HSX,Công ty Cổ phần Lizen,Xây dựng và Vật liệu
LCD,HNX,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,Xây dựng và Vật liệu
LBM,HSX,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,Xây dựng và Vật liệu
LBE,HNX,Công ty Cổ phần Thương mại và Dịch vụ LVA,Truyền thông
LAS,HNX,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Hóa chất
LAF,HSX,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,Thực phẩm và đồ uống
L40,HNX,Công ty Cổ phần Đầu tư và Xây dựng 40,Xây dựng và Vật liệu
L18,HNX,Công ty Cổ phần Đầu tư và Xây dựng số 18,Xây dựng và Vật liệu
L14,HNX,Công ty Cổ phần Licogi 14,Xây dựng và Vật liệu
L10,HSX,Công ty Cổ phần Lilama 10,Hàng & Dịch vụ Công nghiệp
KTS,HNX,Công ty Cổ phần Đường Kon Tum,Thực phẩm và đồ uống
KSV,HNX,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần,Tài nguyên Cơ bản
KST,HNX,Công ty Cổ phần KASATI,Công nghệ Thông tin
KSF,HNX,Công ty Cổ phần Tập đoàn Sunshine,Bất động sản
KSD,HNX,Công ty Cổ phần Đầu tư DNA,Hàng cá nhân & Gia dụng
KSB,HSX,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Tài nguyên Cơ bản
KOS,HSX,Công ty Cổ phần KOSY,Bất động sản
KMT,HNX,Công ty Cổ phần Kim khí Miền Trung,Tài nguyên Cơ bản
KMR,HSX,Công ty Cổ phần Mirae,Hàng cá nhân & Gia dụng
KKC,HNX,Công ty Cổ phần Tập đoàn Thành Thái,Tài nguyên Cơ bản
KHS,HNX,Công ty Cổ phần Kiên Hùng,Thực phẩm và đồ uống
KHP,HSX,Công ty Cổ phần Điện lực Khánh Hòa,"Điện, nước & xăng dầu khí đốt"
KHG,HSX,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Bất động sản
KDM,HNX,Công ty Cổ phần Tập đoàn GCL,Xây dựng và Vật liệu
KDH,HSX,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Bất động sản
KDC,HSX,Công ty Cổ phần Tập đoàn KIDO,Thực phẩm và đồ uống
KBC,HSX,Tổng Công ty Phát triển Đô thị Kinh Bắc,Bất động sản
JVC,HSX,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,Y tế
IVS,HNX,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),Dịch vụ tài chính
ITQ,HNX,Công ty Cổ phần Tập đoàn Thiên Quang,Tài nguyên Cơ bản
ITD,HSX,Công ty Cổ phần Công nghệ Tiên Phong,Công nghệ Thông tin
ITC,HSX,Công ty Cổ phần Đầu tư - Kinh doanh nhà,Bất động sản
IPA,HNX,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,Hàng & Dịch vụ Công nghiệp
INN,HNX,Công ty Cổ phần Bao bì và In Nông nghiệp,Hàng & Dịch vụ Công nghiệp
INC,HNX,Công ty Cổ phần Tư vấn Đầu tư IDICO,Xây dựng và Vật liệu
IMP,HSX,Công ty Cổ phần Dược phẩm IMEXPHARM,Y tế
ILB,HSX,Công ty Cổ phần ICD Tân Cảng - Long Bình,Hàng & Dịch vụ Công nghiệp
IJC,HSX,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Bất động sản
IDV,HNX,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Bất động sản
IDJ,HNX,Công ty Cổ phần Đầu tư IDJ Việt Nam,Bất động sản
IDI,HSX,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Thực phẩm và đồ uống
IDC,HNX,Tổng Công ty IDICO - CTCP,Bất động sản
ICT,HSX,Công ty Cổ phần Viễn thông - Tin học Bưu điện,Công nghệ Thông tin
ICG,HNX,Công ty Cổ phần Xây dựng Sông Hồng,Xây dựng và Vật liệu
HVX,HSX,Công ty Cổ phần Xi măng Vicem Hải Vân,Xây dựng và Vật liệu
HVT,HNX,Công ty Cổ phần Hóa chất Việt Trì,Hóa chất
HVN,HSX,Tổng Công ty Hàng không Việt Nam - CTCP,Du lịch và Giải trí
HVH,HSX,Công ty Cổ phần Đầu tư và Công nghệ HVC,Xây dựng và Vật liệu
HUT,HNX,Công ty Cổ phần Tasco,Ô tô và phụ tùng
HUB,HSX,Công ty Cổ phần Xây lắp Thừa Thiên Huế,Xây dựng và Vật liệu
HU1,HSX,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Xây dựng và Vật liệu
HTV,HSX,Công ty Cổ phần Logistics Vicem,Hàng & Dịch vụ Công nghiệp
HTN,HSX,Công ty Cổ phần Hưng Thịnh Incons,Bất động sản
HTL,HSX,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,Ô tô và phụ tùng
HTI,HSX,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Xây dựng và Vật liệu
HTG,HSX,Tổng Công ty Cổ phần Dệt may Hòa Thọ,Hàng cá nhân & Gia dụng
HTC,HNX,Công ty Cổ phần Thương mại Hóc Môn,"Điện, nước & xăng dầu khí đốt"
HT1,HSX,Công ty Cổ phần Xi măng VICEM Hà Tiên,Xây dựng và Vật liệu
HSL,HSX,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Thực phẩm và đồ uống
HSG,HSX,Công ty Cổ phần Tập đoàn Hoa Sen,Tài nguyên Cơ bản
HRC,HSX,Công ty Cổ phần Cao su Hòa Bình,Hóa chất
HQC,HSX,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,Bất động sản
HPX,HSX,Công ty Cổ phần Đầu tư Hải Phát,Bất động sản
HPG,HSX,Công ty Cổ phần Tập đoàn Hòa Phát,Tài nguyên Cơ bản
